lr_id	ligand	receptor
206	F11R	ITGAL_ITGB2
207	CXCL12	ACKR3
208	CCL18	ACKR1
209	MDK	NCL
210	FN1	ITGAV_ITGB3
211	POSTN	ITGAV_ITGB3
212	SPP1	ITGAV_ITGB3
213	GRN	SORT1
214	THBS2	ITGAV_ITGB3
215	THY1	ITGAV_ITGB3
216	SELL	PODXL
217	VEGFC	KDR
218	EFNB2	EPHB4
219	GDF15	TGFBR2
220	SEMA3C	NRP1_NRP2
221	SEMA3C	PLXND1
222	ANGPTL2	TLR4
223	CDH1	CDH1
224	CCL2	ACKR1
225	CXCL16	CXCR6
226	CCL4	CCR5
227	CCL3	CCR5
228	PDGFB	PDGFRB
229	PDGFB	PDGFRA
230	SEMA4D	PLXNB1
231	CCL3	ACKR2
232	CCL4	ACKR2
233	CCL2	ACKR2
234	ADIPOQ	ADIPOR1
235	LAMC1	ITGA2_ITGB1
236	LAMC1	ITGA3_ITGB1
237	LAMA4	ITGA6_ITGB1
238	LAMB1	ITGA6_ITGB1
239	LAMB2	ITGA6_ITGB1
240	LAMC1	ITGA6_ITGB1
241	TNC	ITGAV_ITGB6
242	TNXB	ITGAV_ITGB6
243	LAMA4	ITGA6_ITGB4
244	LAMB1	ITGA6_ITGB4
245	LAMB2	ITGA6_ITGB4
246	LAMC1	ITGA6_ITGB4
247	CSPG4	ITGA3_ITGB1
248	GAS6	MERTK
249	CXCL9	CXCR3
250	SEMA5A	PLXNA3
251	CCL22	CCR4
252	CD80	CTLA4
253	PTN	SDC3
254	PTN	SDC1
255	TIGIT	NECTIN2
256	COL4A3	CD44
257	COL4A3	SDC1
258	COL4A3	ITGA1_ITGB1
259	COL4A5	CD44
260	COL4A5	SDC1
261	COL4A5	ITGA1_ITGB1
262	CD34	SELP
263	CXCL13	ACKR1
264	SEMA3C	NRP1_PLXNA4
265	MIF	CD74_CXCR4
266	MIF	CD74_CD44
267	SPP1	ITGA9_ITGB1
268	LAMA5	ITGA9_ITGB1
269	GZMA	F2R
270	CTSG	F2R
271	PTN	SDC2
272	CLEC2D	KLRB1
273	LAMA4	ITGA9_ITGB1
274	CXCL10	CXCR3
275	CD80	CD274
276	LAMC2	ITGA9_ITGB1
277	VWF	ITGAV_ITGB3
278	TNC	ITGAV_ITGB3
279	THBS1	ITGAV_ITGB3
280	TGFB1	TGFbR1_TGFbR2
281	ANGPTL4	SDC1
282	ANGPTL4	CDH5
283	ANGPTL4	SDC3
284	ANGPTL4	CDH11
285	OCLN	OCLN
286	NECTIN2	CD226
287	TNN	ITGA9_ITGB1
288	LAMA5	ITGA6_ITGB4
289	CD22	PTPRC
290	CXCL2	ACKR1
291	ICAM1	ITGAL
292	CCL22	ACKR2
293	ICAM1	ITGAM_ITGB2
294	LAMA5	DAG1
295	CD40LG	CD40
296	LAMA2	ITGA6_ITGB4
297	SEMA4D	CD72
298	LAMC1	ITGA9_ITGB1
299	ANXA1	FPR1
300	PTN	SDC4
301	ICAM2	ITGAL_ITGB2
302	DLL4	NOTCH2
303	JAG2	NOTCH2
304	DLL4	NOTCH3
305	JAG2	NOTCH3
306	JAM2	F11R
307	DLL4	NOTCH1
308	JAG2	NOTCH1
309	THBS4	ITGAV_ITGB3
310	TNXB	ITGAV_ITGB3
311	SELE	CD44
312	CXCL13	CXCR3
313	PGF	NRP1
314	PGF	FLT1
315	PGF	NRP2
316	CXCL11	ACKR1
317	LGALS9	HAVCR2
318	LGALS9	CD44
319	LGALS9	PTPRC
320	ANGPTL4	ITGA5_ITGB1
321	SELPLG	SELP
322	ANGPTL4	SDC4
323	VEGFA	FLT1
324	CCL14	CCR1
325	CCL3	CCR1
326	VEGFA	KDR
327	CCL8	ACKR1
328	CD40LG	ITGA5_ITGB1
329	CD40LG	ITGAM_ITGB2
330	CD1D	CEACAM5
331	SPP1	ITGAV_ITGB6
332	F11R	JAM2
333	ICAM1	ITGAX_ITGB2
334	SEMA7A	PLXNC1
335	CXCL11	CXCR3
336	SEMA3G	NRP2_PLXNA2
337	IGF1	IGF1R
338	THBS3	CD36
339	THBS3	CD47
340	THBS3	SDC1
341	LAMB3	CD44
342	LAMB3	ITGA1_ITGB1
343	LAMB3	ITGA7_ITGB1
344	LAMB3	ITGA9_ITGB1
345	ICAM2	ITGAM_ITGB2
346	ICAM1	ITGAL_ITGB2
347	ICAM1	SPN
348	CD274	PDCD1
349	SELPLG	SELL
350	LAMB1	DAG1
351	LAMB2	DAG1
352	HSPG2	DAG1
353	LAMA2	DAG1
354	LAMA4	DAG1
355	VEGFC	FLT4_KDR
356	CD69	KLRB1
357	COMP	ITGAV_ITGB3
358	EFNA1	EPHA2
359	FGF2	FGFR1
360	PTN	ITGAV_ITGB3
361	TNN	ITGAV_ITGB3
362	LTA	TNFRSF1A
363	LTA	TNFRSF14
364	LTA	TNFRSF1B
365	CD226	NECTIN2
366	LAMC1	DAG1
367	AGRN	DAG1
368	MIF	ACKR3
369	CCL2	CCR2
370	PDGFD	PDGFRB
371	COL6A6	SDC4
372	ANGPTL2	ITGA5_ITGB1
373	CXCL11	ACKR3
374	VEGFA	FLT1_KDR
375	TNFSF10	TNFRSF10A
376	TNN	ITGAV_ITGB6
377	LAMA3	CD44
378	FLT3LG	FLT3
379	LAMA3	ITGA1_ITGB1
380	LAMA3	ITGA7_ITGB1
381	LAMA3	ITGA3_ITGB1
382	THBS3	ITGA3_ITGB1
383	COL4A5	ITGA3_ITGB1
384	COL4A5	SDC4
385	THBS3	SDC4
386	CD48	CD244
387	RELN	ITGA3_ITGB1
388	MDK	ITGA6_ITGB1
389	LAMA2	ITGA6_ITGB1
390	CXCL1	ACKR1
391	F11R	JAM3
392	CD96	PVR
393	TIGIT	PVR
394	FASLG	FAS
395	LAMA3	ITGA9_ITGB1
396	COL6A6	ITGA9_ITGB1
397	EDN1	EDNRA
398	CLEC2B	KLRB1
399	ANGPTL4	SDC2
400	CCL8	CCR2
401	SELPLG	SELE
402	WNT5B	FZD4
403	TNFSF12	TNFRSF12A
404	LAMA5	ITGA6_ITGB1
405	COL9A2	SDC4
406	COL9A2	CD44
407	COL9A2	SDC1
408	NECTIN3	TIGIT
409	PTPRM	PTPRM
410	NAMPT	ITGA5_ITGB1
411	IGF1	ITGAV_ITGB3
412	SEMA3A	NRP1_PLXNA4
413	EDN1	EDNRB
414	EFNB2	EPHB1
415	FCER2	ITGAM_ITGB2
416	FCER2	ITGAX_ITGB2
417	LAMC2	DAG1
418	PTN	NCL
419	SEMA6B	PLXNA4
420	PVR	TIGIT
421	LAMA3	ITGA2_ITGB1
422	CD86	CTLA4
423	CD86	CD28
424	COL4A4	SDC1
425	COL4A4	CD44
426	COL4A4	ITGA1_ITGB1
427	COL4A4	SDC4
428	COL4A4	ITGA2_ITGB1
429	LAMB3	ITGA2_ITGB1
430	ESAM	ESAM
431	JAM2	ITGAV_ITGB1
432	SEMA3C	NRP1_PLXNA3
433	COL9A2	ITGA9_ITGB1
434	COL9A2	ITGA1_ITGB1
435	LAMB3	DAG1
436	TNFSF14	TNFRSF14
437	EFNA5	EPHA2
438	CCL8	ACKR2
439	CCL8	CCR1
440	COL6A6	ITGA3_ITGB1
441	THBS3	ITGAV_ITGB3
442	SEMA7A	ITGB1_ITGA1
443	NRG1	ERBB3
444	NRG1	ERBB2_ERBB3
445	HGF	MET
446	SEMA4C	PLXNB2
447	LAMC2	ITGA6_ITGB4
448	ADIPOQ	ADIPOR2
449	ADM	CALCRL
