"","Connecting Tubule","Distal Convoluted Tubule","Endothelial Cell","Intercalated Cells Type A","Intercalated Cells Type B","Leukocyte","Mesangial Cells","Principal Cells","Proximal Tubule","Thick Ascending Limb"
"157",6.08580900488608e-05,0.0323542088097346,6.08580904014522e-05,6.08580904013014e-05,6.08580904014434e-05,6.08580904014162e-05,6.08580904014453e-05,6.08580904015327e-05,0.960256193228736,0.00696359132907136
"158",0.000124106537685817,0.268434682273774,0.000124106537685878,0.247477443118238,0.338215700481644,0.000124106537685866,0.00012410653768585,0.000124106537685866,0.000124106537685867,0.145127534900229
"159",9.04704185525645e-05,0.178386655722468,9.04704185525514e-05,9.04704187253602e-05,9.04704185525504e-05,9.04704185525496e-05,9.04704185525736e-05,9.04704185525295e-05,0.718544785072848,0.102435266274643
"160",0.528566378306841,0.235802494985874,0.000129649418490421,0.000129649418495845,0.00012964941849043,0.000129649418490421,0.000129649418490424,0.000129649418490427,0.229810677180271,0.00504255301606538
"161",9.74980418232972e-05,0.908675331151998,9.74980413403228e-05,9.74980428708887e-05,9.74980418232791e-05,9.74980418232672e-05,9.74980418232554e-05,9.74980418232696e-05,9.74980418233153e-05,0.0905446845128508
"162",0.000133993657500235,0.451869643982461,0.000133993657500227,0.00013399365750031,0.547058406757537,0.00013399365750023,0.000133993657500243,0.000133993657500234,0.000133993657500186,0.000133993657500232
"163",9.23020092842327e-05,0.915345353208304,9.23020092842422e-05,9.23020092842533e-05,9.23020092842497e-05,0.0182368144042154,9.23020092842387e-05,9.23020092842513e-05,0.0657717183225144,9.23020092604431e-05
"164",0.0344589313226404,0.502434100542651,8.42510586461728e-05,8.42510634038277e-05,8.42510586461833e-05,8.42510586461839e-05,8.42510586461803e-05,8.42510586461835e-05,0.462517210719427,8.42510586467052e-05
"165",0.0758501415322851,0.536527844028289,0.000137772345218074,0.000137772345233656,0.000137772345218065,0.000137772345218093,0.000137772345218067,0.118450850770858,0.268344529602943,0.000137772339518388
"166",0.237460296558307,0.643615414144559,0.0329567395674378,0.000128951374603495,0.000128951374602062,0.000128951374602056,0.000128951374602066,0.0319711929509394,0.000128951374602062,0.0533515999057448
"167",0.000197588714413381,0.515674096527651,0.000197588714413417,0.0735938962195905,0.140868090050864,0.000197588714413378,0.000197588714413372,0.000197588714413373,0.173773521989104,0.0951024516407238
"168",9.40637430391992e-05,0.952710462869654,9.4063742931419e-05,9.40637430392308e-05,9.40637430392476e-05,9.40637430392133e-05,9.40637430392305e-05,9.406374303923e-05,9.40637430392254e-05,0.0465370271861397
"169",8.44509272893029e-05,0.7073074973114,8.44509272893086e-05,8.44509272883248e-05,8.44509272893265e-05,8.44509272892687e-05,8.44509272893532e-05,8.44509272893317e-05,0.292016895270276,8.44509273004248e-05
"170",9.70963014187061e-05,0.940756796277537,9.70963014187093e-05,9.7096300281711e-05,9.70963014187118e-05,9.70963014186989e-05,9.70963014187075e-05,9.70963014187108e-05,0.0584664333115689,9.70963021002264e-05
"171",8.82830357408095e-05,0.426560088966887,8.82830357408465e-05,8.82830357375704e-05,8.8283035740769e-05,8.82830357408081e-05,8.82830357407764e-05,8.82830357408062e-05,0.572733646751791,8.82830311400533e-05
"172",9.41376193337092e-05,0.991249819458104,9.41376198747568e-05,9.41376195058108e-05,9.41376193336894e-05,9.41376193336527e-05,9.41376193336901e-05,9.4137619333665e-05,9.41376193336898e-05,0.00799707958651289
"173",0.000135877095529716,0.305606700855275,0.000135877095529662,0.000135877095529712,0.000135877095529723,0.00013587709552972,0.000135877095529727,0.000135877095529725,0.260920090514961,0.432522068961056
"174",0.327303176322466,0.0417903779163727,0.198697956035624,0.000188934162027631,0.000188934162027634,0.00018893416202763,0.000188934162027634,0.000188934162027634,0.43107488475337,0.000188934162029652
"175",0.278424114150644,0.676369324486099,0.000142956721860633,0.000142956721855312,0.000142956721858856,0.000142956721858872,0.000142956721858861,0.000142956721858856,0.000142956721858825,0.0442058643102471
"176",0.837997533102371,0.000146985944921825,0.0197275460960926,0.00014698594492183,0.000146985944921818,0.00014698594492183,0.00014698594492183,0.00014698594492183,0.141246019190369,0.000146985941636702
"177",6.17071618231311e-05,0.0310380854917658,6.1707161823094e-05,6.17071618273815e-05,6.17071618231248e-05,6.17071618230904e-05,6.17071618231259e-05,6.17071618231216e-05,0.940567393361351,0.0279625710141172
"178",6.05608981513487e-05,0.894496790835487,5.99110719772921e-05,5.99110719773171e-05,0.0383816757723348,5.99110719773498e-05,5.99110719773095e-05,0.0286959892698092,0.0380654278651313,5.99110711768151e-05
"179",8.40806895875809e-05,0.538458659018701,8.40806895875801e-05,8.40806897184496e-05,8.40806895875786e-05,8.40806895875923e-05,8.40806895875838e-05,8.40806895875851e-05,0.460868695461976,8.40806920785814e-05
"180",0.000136705711062414,0.750578998405062,0.000136705711063891,0.0923209253957697,0.0847050655269701,0.000136705711062409,0.000136705711062412,0.000136705711062413,0.000136705711062397,0.0715747764058222
"181",0.199171715656257,0.231823537118783,0.143427146018214,0.119802653673491,0.251909150935733,0.000278982890904677,0.0175240321692263,0.0355048157519867,0.00027898289090468,0.000278982894499213
"182",0.000141002954586965,0.373731043131631,0.00014100295458663,0.407734759182761,0.217547177003951,0.000141002954587031,0.000141002954586965,0.000141002954586966,0.000141002954587005,0.000141002954135645
"183",0.133968222734397,0.267960036085801,0.00013070640380084,0.114437914866925,0.0941324837971025,0.000130706403800886,0.000130706403800861,0.000130706403800858,0.388847810497188,0.000130706403382488
"184",0.102035704241325,8.82291826004875e-05,8.82291826005186e-05,8.82291825983284e-05,8.82291826004939e-05,8.82291826004785e-05,8.82291826004936e-05,0.0655786576439622,0.831768033836311,8.82291828008019e-05
"185",0.239393058026562,0.657022002656661,0.102681611815486,0.00012904678959436,0.0001290467852824,0.000129046785282405,0.000129046785282401,0.0001290467852824,0.000129046785282417,0.000129046785284443
"186",0.173881676104259,0.255104763730968,0.000276707577528069,0.130506634655886,0.227139629394511,0.000276707577528093,0.000276707577528091,0.000276707577528108,0.187894880203479,0.0243655856007843
"187",0.0985441030786655,0.512102220059147,8.92648281688037e-05,0.15128933423342,0.125695160092799,8.92648281687825e-05,8.9264828168776e-05,8.92648281688255e-05,0.111922858399806,8.92648234876169e-05
