,L4_5 IT CTX,L6 CT CTX,L2_3 IT CTX,L6 IT CTX,DG,Sst,Vip,L5 IT CTX,Lamp5,Pvalb,L5 NP CTX,Car3,L6b_CT ENT,L5_6 IT CTX,L2_3 IT RSPv,L5 PT CTX,L2_3 IT PPP,L6b CTX,CA1,Sncg,L3 IT ENTm,Oligo,L2_3 IT ENTl,CT SUB,L4 RSP-ACA,L5 IT TPE-ENT,Lamp5 Lhx6,L2_3 IT RSP,L2 IT ENTl,Astro,L3 IT ENTl,L2_3 IT APr,SUB-ProS,NP PPP,L2 IT ENTm,L2 IT PAR,CA3,Pax6,L5 NP CT CTX ,CA1-ProS,SUB,Sst Chodl,Endo,Micro-PVM,L2_3 IT ProS,NP SUB,L6 IT ENTl,L5 PPP,L2_3 IT HATA,Ndnf HPF,Meis2 HPF,CA2-IG-FC,SMC-Peri,CR
401,0.010929512,0.0034936965,0.04070146,0.013731163,0.028475065,0.00023768838,0.00020675853,0.0012387721,0.00013255527,7.724066e-05,0.00010639608,0.018827744,0.0135697,0.0023008909,0.00084880495,0.00016729235,0.020048952,0.00013202494,0.040536232,0.0004144095,0.0010281791,2.0051511e-05,0.041588727,0.00011848373,0.0020999133,0.015230788,9.305882e-05,0.0001891077,0.0034079398,4.1388153e-06,0.00012532783,0.0011686953,0.0007309413,0.00025386087,0.0007350639,0.012388152,0.27236706,4.596237e-05,5.110116e-05,0.00012911664,8.865185e-05,4.057091e-05,9.245772e-06,9.38052e-06,0.036844168,6.2526364e-05,0.00010918101,5.8977123e-05,0.00028616234,0.00012853423,1.954418e-05,0.41426003,9.794674e-06,0.00012119685
402,0.03166729,0.022553446,0.002044837,0.0038191944,0.007409166,0.0007216205,0.00024340682,0.007885173,0.00016680303,0.00042628014,0.00030983775,0.031820785,0.051065773,0.0045250924,0.027668787,0.0002639177,0.001254928,0.21442561,0.0001593984,6.422942e-05,0.04546863,0.00090666895,0.00048843096,0.0018663435,0.036831837,0.00059008715,1.6617323e-05,0.024242695,0.031753156,7.454405e-05,0.00011104764,0.00027732376,0.00024303824,0.00094286795,0.00027814345,0.0004402019,0.0006740987,0.33599108,0.0037591856,5.1504478e-05,0.00011957246,5.818619e-05,2.6255715e-05,2.309632e-05,0.00043583382,0.00031960793,0.10367074,0.00058496423,0.00039067876,0.000549088,6.35853e-05,6.3405685e-05,1.5968875e-05,0.00017582584
403,0.083897464,0.013203415,0.08268154,0.015941286,0.15332873,0.002008509,0.0027807138,0.108256005,0.00023859121,0.0009003579,0.004473737,0.0054995576,0.0005247301,0.05135236,0.00076863,0.009579677,0.00080988026,0.002191111,0.0031826708,0.00051397533,0.0047607776,0.00056336273,0.0055661337,0.00081889407,0.068012945,0.072522484,0.0023427687,0.0031999743,0.010114973,0.0005250904,0.012403726,0.0026651146,0.00076278223,0.00047776834,0.0011107443,0.24965641,0.0040284237,0.0004523282,0.00027338337,0.0061202887,0.0019996818,0.00026992356,0.00018710145,8.3255916e-05,0.00025549752,0.00084424455,0.0006536278,0.002759109,0.00135217,0.00042528808,0.00016941245,0.0021559128,2.826957e-05,0.0003051504
404,0.008590138,0.055290617,0.010598926,0.008661429,0.0105802,0.00018762493,0.0007315832,0.020451685,0.0001400397,0.00054777274,0.24831513,0.0035805565,0.0048621134,0.007000297,0.0030762716,0.0063760486,0.0017971238,0.026848288,0.16931857,0.03215002,0.043250497,4.415341e-05,0.00041236586,0.00031210363,0.0017232534,0.00891288,0.00012343549,0.00022774744,0.06401892,3.207433e-05,8.8091976e-05,0.07409957,0.00027407982,0.0013259492,0.000114812334,7.629607e-05,0.010591063,7.30901e-05,2.5661186e-05,0.036926694,0.000100465084,0.00036663128,5.4812303e-06,9.889386e-06,5.7734796e-05,0.0011127474,7.727487e-05,0.13554294,0.00042774415,0.0003663957,5.1250623e-05,6.105328e-05,5.6029094e-06,5.761471e-05
405,0.02012438,0.0020181683,0.014532111,0.056245096,0.0034722767,0.003392461,0.034197558,0.00027236354,0.004758903,8.805412e-05,0.00041587374,0.013307398,0.026979916,0.0015379612,9.020417e-05,0.00020986151,0.053604264,0.0004646318,0.019827854,0.15828179,0.0008968408,2.9538543e-05,0.0005946781,0.00020088699,0.00021757868,0.00017552158,0.00010726853,3.983051e-05,0.098647654,1.0639042e-05,4.1225416e-05,3.670306e-05,0.08292604,0.0001325219,0.0003390139,0.00033648108,6.913739e-05,0.00013175208,0.00026652386,0.00044891462,0.007652167,0.00014411724,7.368792e-05,2.6519398e-05,0.00056076655,2.5788719e-05,7.921463e-05,0.00014791629,0.03283254,0.000663048,0.35812777,7.51617e-05,4.350484e-06,0.000116981646
406,0.08190569,0.020657416,0.09915391,0.026043115,0.002809595,0.0011790255,0.00028449268,0.037661392,0.00034920505,0.0036070517,0.28452986,0.0028709164,0.009251878,0.010094033,0.00088447006,0.0040030847,0.059486736,0.0022517724,0.008251678,0.0044219876,0.013202701,0.000223499,0.0018812583,0.0026441158,0.00016335362,0.033578243,0.00023451772,0.008082008,0.13865474,1.28838365e-05,0.0046735606,0.0002509445,0.003084693,0.095164664,0.0026859604,0.024498608,0.000489877,0.00043939304,0.0022097323,0.002427597,0.0006291993,0.0011129543,0.00032823862,6.015411e-05,0.00030072682,0.00038745336,0.00062927266,0.0001721766,0.00093070936,0.00019219666,9.647777e-05,0.0006690819,7.28276e-05,0.000119123804
407,0.021871999,0.004154503,0.02656586,0.010786829,0.0019682823,0.0004516217,0.00045499523,0.014237628,0.117146246,0.00028647974,0.0010248458,0.002598161,0.0016892621,0.03609664,0.0003990409,0.0012549195,0.0012135447,0.00042937623,0.01232261,0.0026599048,0.049561985,0.00020326857,0.00041752006,0.0010509132,0.0015811467,0.021095626,0.0003870915,0.009654307,0.0013386474,0.00025036375,0.0031591633,0.0005725054,0.001231115,0.6078422,0.0015217826,0.0026621404,0.0015047698,7.244331e-05,0.0010508618,0.0006872319,0.0016512289,0.0011950196,9.349938e-06,8.102528e-06,0.00036826247,0.0007540505,0.031031013,0.00036025324,0.00034163662,0.00038339745,5.969286e-05,0.00011603444,2.0088502e-05,0.0002439
408,0.01466786,0.0038626897,0.0065865954,0.008187094,0.011838792,0.09075545,0.07749926,0.005236962,0.007829295,0.015884263,0.00022771054,0.0062959855,0.11503088,0.0011415506,0.0054544625,0.0024465062,0.0032374887,0.0012243255,0.008380978,0.23317404,0.015630018,0.00011250543,0.024964055,0.00011638949,0.00040489217,0.006746499,0.018629966,0.0007943021,0.00032438512,1.0976588e-05,0.00029965624,0.00058549753,0.08043178,0.00032921202,8.173761e-05,0.00024271569,0.00023192794,0.0010231631,0.00011478499,0.0003286706,0.019655826,0.0020611675,1.5416872e-05,3.098367e-05,3.388119e-05,0.00010118557,0.11135629,6.063387e-05,0.00071217096,0.09397211,0.0013566958,0.00013507466,5.497369e-06,0.00013779436
409,0.0007205945,0.0019167763,0.006025676,0.0002867832,0.010230884,0.0032962568,0.0553195,0.0024019782,0.0017381101,0.00010092056,0.0004894007,0.01349893,0.0006279899,0.015579553,0.0004319164,0.007536377,0.01007796,0.00014516636,0.007910432,0.03929445,0.022400567,6.128309e-05,0.0005158829,0.0004795178,0.024869338,0.007687921,0.04446358,0.0010561908,0.0005229709,2.439893e-06,0.0047093565,0.000104072125,0.00035166112,9.303456e-05,0.0024047622,0.0029607245,0.00044155068,0.044652462,0.00019678811,0.028279396,0.00065303466,0.00028282654,9.010683e-06,2.4388737e-06,0.00014485522,0.00058948743,7.8390745e-05,0.00020795621,0.06956876,0.00016988935,0.27559572,0.2886877,1.2703014e-05,0.00011415762
410,0.0016513708,0.09745125,0.00093837007,0.03761662,0.01309841,0.0014083985,0.007693594,0.0011294548,0.0038914236,0.000727579,0.00060532894,0.037968997,0.18035437,0.004331294,0.0028214501,0.0024646148,0.0031735094,0.00265561,0.005671482,0.00055956794,0.0026260777,0.0006634703,0.0008189169,0.0010715739,0.0013727383,0.0007901672,0.0005067591,0.0034077656,0.0057322145,7.661211e-06,0.0019801345,0.0025010211,0.0016876631,0.00030856003,0.0009186606,0.0015424746,0.15825185,0.00010931118,0.00083436444,0.005040992,0.0027021929,0.00087435683,1.16238e-05,7.07487e-05,0.00057086244,0.39547712,0.0024432233,8.523805e-05,0.0001957571,0.0005144154,0.00022670726,0.00022132485,2.420566e-05,0.00019723187
