ligand_receptor,lr_id
CD274_PDCD1,200
CD34_SELP,201
CD40LG_CD40,202
CD40LG_ITGA2B_ITGB3,203
CD40LG_ITGA5_ITGB1,204
CD40LG_ITGAM_ITGB2,205
CD46_JAG1,206
CD48_CD244,207
CD69_KLRB1,208
CD6_ALCAM,209
CD70_CD27,210
CD80_CD274,211
CD80_CD28,212
CD80_CTLA4,213
CD86_CD28,214
CD86_CTLA4,215
CD8A_CEACAM5,216
CD96_NECTIN1,217
CD96_PVR,218
CD99_CD99,219
CD99_CD99L2,220
CD99_PILRA,221
CDH15_CDH15,222
CDH1_CDH1,223
CDH1_ITGA2_ITGB1,224
CDH1_ITGAE_ITGB7,225
CDH1_KLRG1,226
CDH2_CDH2,227
CDH4_CDH4,228
CDH5_CDH5,229
CEACAM1_CEACAM5,230
CGA_FSHR,231
CGA_LHCGR,232
CGA_TSHR,233
CHAD_ITGA2_ITGB1,234
CLCF1_CNTFR_LIFR,235
CLDN11_CLDN11,236
CLEC1B_KLRB1,237
CLEC2A_KLRB1,238
CLEC2B_KLRB1,239
CLEC2D_KLRB1,240
CLEC2L_KLRB1,241
CNTF_CNTFR_LIFR,242
CNTN1_NRCAM,243
CNTN2_CNTN2,244
CNTN2_CNTN2_CNTNAP2,245
CNTN2_L1CAM,246
COL1A1_CD44,247
COL1A1_GP6,248
COL1A1_ITGA10_ITGB1,249
COL1A1_ITGA11_ITGB1,250
COL1A1_ITGA1_ITGB1,251
COL1A1_ITGA2_ITGB1,252
COL1A1_ITGA3_ITGB1,253
COL1A1_ITGA9_ITGB1,254
COL1A1_ITGAV_ITGB8,255
COL1A1_SDC1,256
COL1A1_SDC4,257
COL1A2_CD44,258
COL1A2_GP6,259
COL1A2_ITGA10_ITGB1,260
COL1A2_ITGA11_ITGB1,261
COL1A2_ITGA1_ITGB1,262
COL1A2_ITGA2_ITGB1,263
COL1A2_ITGA3_ITGB1,264
COL1A2_ITGA9_ITGB1,265
COL1A2_ITGAV_ITGB8,266
COL1A2_SDC1,267
COL1A2_SDC4,268
COL2A1_CD44,269
COL2A1_GP6,270
COL2A1_ITGA10_ITGB1,271
COL2A1_ITGA11_ITGB1,272
COL2A1_ITGA1_ITGB1,273
COL2A1_ITGA2_ITGB1,274
COL2A1_ITGA3_ITGB1,275
COL2A1_ITGA9_ITGB1,276
COL2A1_ITGAV_ITGB8,277
COL2A1_SDC1,278
COL2A1_SDC4,279
COL4A1_CD44,280
COL4A1_GP6,281
COL4A1_ITGA10_ITGB1,282
COL4A1_ITGA11_ITGB1,283
COL4A1_ITGA1_ITGB1,284
COL4A1_ITGA2_ITGB1,285
COL4A1_ITGA3_ITGB1,286
COL4A1_ITGA9_ITGB1,287
COL4A1_ITGAV_ITGB8,288
COL4A1_SDC1,289
COL4A1_SDC4,290
COL4A2_CD44,291
COL4A2_GP6,292
COL4A2_ITGA10_ITGB1,293
COL4A2_ITGA11_ITGB1,294
COL4A2_ITGA1_ITGB1,295
COL4A2_ITGA2_ITGB1,296
COL4A2_ITGA3_ITGB1,297
COL4A2_ITGA9_ITGB1,298
COL4A2_ITGAV_ITGB8,299
COL4A2_SDC1,300
COL4A2_SDC4,301
COL4A3_CD44,302
COL4A3_GP6,303
COL4A3_ITGA10_ITGB1,304
COL4A3_ITGA11_ITGB1,305
COL4A3_ITGA1_ITGB1,306
COL4A3_ITGA2_ITGB1,307
COL4A3_ITGA3_ITGB1,308
COL4A3_ITGA9_ITGB1,309
COL4A3_ITGAV_ITGB8,310
COL4A3_SDC1,311
COL4A3_SDC4,312
COL4A4_CD44,313
COL4A4_GP6,314
COL4A4_ITGA10_ITGB1,315
COL4A4_ITGA11_ITGB1,316
COL4A4_ITGA1_ITGB1,317
COL4A4_ITGA2_ITGB1,318
COL4A4_ITGA3_ITGB1,319
COL4A4_ITGA9_ITGB1,320
COL4A4_ITGAV_ITGB8,321
COL4A4_SDC1,322
COL4A4_SDC4,323
COL4A5_CD44,324
COL4A5_GP6,325
COL4A5_ITGA10_ITGB1,326
COL4A5_ITGA11_ITGB1,327
COL4A5_ITGA1_ITGB1,328
COL4A5_ITGA2_ITGB1,329
COL4A5_ITGA3_ITGB1,330
COL4A5_ITGA9_ITGB1,331
COL4A5_ITGAV_ITGB8,332
COL4A5_SDC1,333
COL4A5_SDC4,334
COL4A6_CD44,335
COL4A6_GP6,336
COL4A6_ITGA10_ITGB1,337
COL4A6_ITGA11_ITGB1,338
COL4A6_ITGA1_ITGB1,339
COL4A6_ITGA2_ITGB1,340
COL4A6_ITGA3_ITGB1,341
COL4A6_ITGA9_ITGB1,342
COL4A6_ITGAV_ITGB8,343
COL4A6_SDC1,344
COL4A6_SDC4,345
COL6A1_CD44,346
COL6A1_GP6,347
COL6A1_ITGA10_ITGB1,348
COL6A1_ITGA11_ITGB1,349
COL6A1_ITGA1_ITGB1,350
COL6A1_ITGA2_ITGB1,351
COL6A1_ITGA3_ITGB1,352
COL6A1_ITGA9_ITGB1,353
COL6A1_ITGAV_ITGB8,354
COL6A1_SDC1,355
COL6A1_SDC4,356
COL6A2_CD44,357
COL6A2_GP6,358
COL6A2_ITGA10_ITGB1,359
COL6A2_ITGA11_ITGB1,360
COL6A2_ITGA1_ITGB1,361
COL6A2_ITGA2_ITGB1,362
COL6A2_ITGA3_ITGB1,363
COL6A2_ITGA9_ITGB1,364
COL6A2_ITGAV_ITGB8,365
COL6A2_SDC1,366
COL6A2_SDC4,367
COL6A3_CD44,368
COL6A3_GP6,369
COL6A3_ITGA10_ITGB1,370
COL6A3_ITGA11_ITGB1,371
COL6A3_ITGA1_ITGB1,372
COL6A3_ITGA2_ITGB1,373
COL6A3_ITGA3_ITGB1,374
COL6A3_ITGA9_ITGB1,375
COL6A3_ITGAV_ITGB8,376
COL6A3_SDC1,377
COL6A3_SDC4,378
COL6A5_CD44,379
COL6A5_GP6,380
COL6A5_ITGA10_ITGB1,381
COL6A5_ITGA11_ITGB1,382
COL6A5_ITGA1_ITGB1,383
COL6A5_ITGA2_ITGB1,384
COL6A5_ITGA3_ITGB1,385
COL6A5_ITGA9_ITGB1,386
COL6A5_ITGAV_ITGB8,387
COL6A5_SDC1,388
COL6A5_SDC4,389
COL6A6_CD44,390
COL6A6_GP6,391
COL6A6_ITGA10_ITGB1,392
COL6A6_ITGA11_ITGB1,393
COL6A6_ITGA1_ITGB1,394
COL6A6_ITGA2_ITGB1,395
COL6A6_ITGA3_ITGB1,396
COL6A6_ITGA9_ITGB1,397
COL6A6_ITGAV_ITGB8,398
COL6A6_SDC1,399
COL6A6_SDC4,400
COL9A1_CD44,401
COL9A1_GP6,402
COL9A1_ITGA10_ITGB1,403
COL9A1_ITGA11_ITGB1,404
COL9A1_ITGA1_ITGB1,405
COL9A1_ITGA2_ITGB1,406
COL9A1_ITGA3_ITGB1,407
COL9A1_ITGA9_ITGB1,408
COL9A1_ITGAV_ITGB8,409
COL9A1_SDC1,410
COL9A1_SDC4,411
COL9A2_CD44,412
COL9A2_GP6,413
COL9A2_ITGA10_ITGB1,414
COL9A2_ITGA11_ITGB1,415
COL9A2_ITGA1_ITGB1,416
COL9A2_ITGA2_ITGB1,417
COL9A2_ITGA3_ITGB1,418
COL9A2_ITGA9_ITGB1,419
COL9A2_ITGAV_ITGB8,420
COL9A2_SDC1,421
COL9A2_SDC4,422
COL9A3_CD44,423
COL9A3_GP6,424
COL9A3_ITGA10_ITGB1,425
COL9A3_ITGA11_ITGB1,426
COL9A3_ITGA1_ITGB1,427
COL9A3_ITGA2_ITGB1,428
COL9A3_ITGA3_ITGB1,429
COL9A3_ITGA9_ITGB1,430
COL9A3_ITGAV_ITGB8,431
COL9A3_SDC1,432
COL9A3_SDC4,433
COMP_CD36,434
COMP_CD47,435
COMP_ITGA3_ITGB1,436
COMP_ITGAV_ITGB3,437
COMP_SDC1,438
COMP_SDC4,439
CORT_SSTR1,440
CORT_SSTR2,441
CORT_SSTR3,442
CORT_SSTR4,443
CORT_SSTR5,444
CRH_CRHR1,445
CRH_CRHR2,446
CSF1_CSF1R,447
CSF2_CSF2RA_CSF2RB,448
CSF3_CSF3R,449
CSPG4_ITGA3_ITGB1,450
CTF1_LIFR_IL6ST,451
CTSG_F2R,452
CTSG_F2RL1,453
CTSG_F2RL2,454
CTSG_F2RL3,455
CTSG_PARD3,456
CX3CL1_CX3CR1,457
CXCL10_ACKR1,458
CXCL10_CXCR3,459
CXCL11_ACKR1,460
CXCL11_ACKR3,461
CXCL11_CXCR3,462
CXCL12_ACKR3,463
CXCL12_CXCR4,464
CXCL13_ACKR1,465
CXCL13_CXCR3,466
CXCL13_CXCR5,467
CXCL16_CXCR6,468
CXCL1_ACKR1,469
CXCL1_CXCR1,470
CXCL1_CXCR2,471
CXCL2_ACKR1,472
CXCL2_CXCR1,473
CXCL2_CXCR2,474
CXCL3_ACKR1,475
CXCL3_CXCR1,476
CXCL3_CXCR2,477
CXCL5_ACKR1,478
CXCL5_CXCR1,479
CXCL5_CXCR2,480
CXCL6_ACKR1,481
CXCL6_CXCR1,482
CXCL6_CXCR2,483
CXCL8_ACKR1,484
CXCL8_CXCR1,485
CXCL8_CXCR2,486
CXCL9_ACKR1,487
CXCL9_CXCR3,488
DHH_PTCH1_SMO,489
DHH_PTCH2_SMO,490
DLK1_NOTCH1,491
DLK1_NOTCH2,492
DLK1_NOTCH3,493
DLK1_NOTCH4,494
DLL1_NOTCH1,495
DLL1_NOTCH2,496
DLL1_NOTCH3,497
DLL1_NOTCH4,498
DLL3_NOTCH1,499
DLL3_NOTCH2,500
DLL3_NOTCH3,501
DLL3_NOTCH4,502
DLL4_NOTCH1,503
DLL4_NOTCH2,504
DLL4_NOTCH3,505
DLL4_NOTCH4,506
DMP1_ITGAV_ITGB3,507
DSC1_DSG1,508
DSC1_DSG2,509
DSC2_DSG1,510
DSC2_DSG2,511
DSG1_DSC3,512
DSG2_DSC3,513
DSPP_ITGAV_ITGB1,514
DSPP_ITGAV_ITGB6,515
EDA_EDA2R,516
EDA_EDAR,517
EDN1_EDNRA,518
EDN1_EDNRB,519
EDN2_EDNRA,520
EDN2_EDNRB,521
EDN3_EDNRA,522
EDN3_EDNRB,523
EFNA1_EPHA1,524
EFNA1_EPHA2,525
EFNA1_EPHA3,526
EFNA1_EPHA4,527
EFNA1_EPHA5,528
EFNA1_EPHA7,529
EFNA1_EPHA8,530
EFNA2_EPHA1,531
EFNA2_EPHA2,532
EFNA2_EPHA3,533
EFNA2_EPHA4,534
EFNA2_EPHA5,535
EFNA2_EPHA7,536
EFNA2_EPHA8,537
EFNA3_EPHA1,538
EFNA3_EPHA2,539
EFNA3_EPHA3,540
EFNA3_EPHA4,541
EFNA3_EPHA5,542
EFNA3_EPHA7,543
EFNA3_EPHA8,544
EFNA4_EPHA1,545
EFNA4_EPHA2,546
EFNA4_EPHA3,547
EFNA4_EPHA4,548
EFNA4_EPHA5,549
EFNA4_EPHA7,550
EFNA4_EPHA8,551
EFNA5_EPHA1,552
EFNA5_EPHA2,553
EFNA5_EPHA3,554
EFNA5_EPHA4,555
EFNA5_EPHA5,556
EFNA5_EPHA7,557
EFNA5_EPHA8,558
EFNA5_EPHB2,559
EFNB1_EPHA4,560
EFNB1_EPHB1,561
EFNB1_EPHB2,562
EFNB1_EPHB3,563
EFNB1_EPHB4,564
EFNB2_EPHA4,565
EFNB2_EPHB1,566
EFNB2_EPHB2,567
EFNB2_EPHB3,568
EFNB2_EPHB4,569
EFNB3_EPHA4,570
EFNB3_EPHB1,571
EFNB3_EPHB2,572
EFNB3_EPHB3,573
EFNB3_EPHB4,574
EFNB3_EPHB6,575
EGF_EGFR,576
EGF_EGFR_ERBB2,577
ENHO_GPR19,578
ENTPD1_ADORA1,579
ENTPD1_ADORA2A,580
ENTPD1_ADORA2B,581
ENTPD1_TMIGD3,582
EPGN_EGFR,583
EPO_EPOR,584
EREG_EGFR,585
EREG_EGFR_ERBB2,586
EREG_ERBB2_ERBB4,587
EREG_ERBB4,588
ESAM_ESAM,589
F11R_F11R,590
F11R_ITGAL_ITGB2,591
F11R_JAM2,592
F11R_JAM3,593
F2_F2R,594
F2_F2RL1,595
F2_F2RL2,596
F2_F2RL3,597
F2_PARD3,598
FASLG_FAS,599
FCER2_CR2,600
FCER2_ITGAM_ITGB2,601
FCER2_ITGAV_ITGB3,602
FCER2_ITGAX_ITGB2,603
FGF10_FGFR1,604
FGF10_FGFR2,605
FGF16_FGFR1,606
FGF16_FGFR2,607
FGF16_FGFR3,608
FGF16_FGFR4,609
FGF17_FGFR1,610
FGF17_FGFR2,611
FGF17_FGFR3,612
FGF17_FGFR4,613
FGF18_FGFR1,614
FGF18_FGFR2,615
FGF18_FGFR3,616
FGF18_FGFR4,617
FGF19_FGFR1,618
FGF19_FGFR2,619
FGF19_FGFR3,620
FGF19_FGFR4,621
FGF1_FGFR1,622
FGF1_FGFR2,623
FGF1_FGFR3,624
FGF1_FGFR4,625
FGF20_FGFR1,626
FGF20_FGFR2,627
FGF20_FGFR3,628
FGF20_FGFR4,629
FGF21_FGFR1,630
FGF21_FGFR3,631
FGF22_FGFR2,632
FGF23_FGFR1,633
FGF23_FGFR3,634
FGF23_FGFR4,635
FGF2_FGFR1,636
FGF2_FGFR2,637
FGF2_FGFR3,638
FGF2_FGFR4,639
FGF3_FGFR1,640
FGF3_FGFR2,641
FGF4_FGFR1,642
FGF4_FGFR2,643
FGF4_FGFR3,644
FGF4_FGFR4,645
FGF5_FGFR1,646
FGF5_FGFR2,647
FGF5_FGFR3,648
FGF5_FGFR4,649
FGF6_FGFR1,650
FGF6_FGFR2,651
FGF6_FGFR3,652
FGF6_FGFR4,653
FGF7_FGFR1,654
FGF7_FGFR2,655
FGF8_FGFR1,656
FGF8_FGFR2,657
FGF8_FGFR3,658
FGF8_FGFR4,659
FGF9_FGFR1,660
FGF9_FGFR2,661
FGF9_FGFR3,662
FGF9_FGFR4,663
FLT3LG_FLT3,664
FN1_CD44,665
FN1_ITGA2B_ITGB3,666
FN1_ITGA3_ITGB1,667
FN1_ITGA4_ITGB1,668
FN1_ITGA4_ITGB7,669
FN1_ITGA5_ITGB1,670
FN1_ITGA8_ITGB1,671
FN1_ITGAV_ITGB1,672
FN1_ITGAV_ITGB3,673
FN1_ITGAV_ITGB6,674
FN1_ITGAV_ITGB8,675
FN1_SDC1,676
FN1_SDC4,677
FSHB_FSHR,678
GALP_GALR1,679
GALP_GALR2,680
GAL_GALR1,681
GAL_GALR2,682
GAL_GALR3,683
GAS6_AXL,684
GAS6_MERTK,685
GAS6_TYRO3,686
GCG_GCGR,687
GCG_GIPR,688
GCG_GLP1R,689
GCG_GLP2R,690
GDF10_ACVR1B_ACVR2A,691
GDF11_ACVR1B_ACVR2B,692
GDF11_TGFBR1_ACVR2A,693
GDF11_TGFBR1_ACVR2B,694
GDF15_TGFBR2,695
GDF1_ACVR1B_ACVR2A_CFC1,696
GDF1_ACVR1B_ACVR2B_CFC1,697
GDF1_ACVR1C_ACVR2A_CFC1,698
GDF1_ACVR1C_ACVR2B_CFC1,699
GDF2_ACVRL1_ACVR2A,700
GDF2_ACVRL1_BMPR2,701
GDF3_ACVR1B_ACVR2A_CFC1,702
GDF3_ACVR1B_ACVR2B_CFC1,703
GDF3_ACVR1C_ACVR2A_CFC1,704
GDF3_ACVR1C_ACVR2B_CFC1,705
GDF5_BMPR1A_ACVR2A,706
GDF5_BMPR1A_ACVR2B,707
GDF5_BMPR1A_BMPR2,708
GDF5_BMPR1B_ACVR2A,709
GDF5_BMPR1B_ACVR2B,710
GDF5_BMPR1B_BMPR2,711
GDF6_BMPR1A_ACVR2A,712
GDF6_BMPR1A_ACVR2B,713
GDF6_BMPR1A_BMPR2,714
GDF6_BMPR1B_ACVR2A,715
GDF6_BMPR1B_ACVR2B,716
GDF6_BMPR1B_BMPR2,717
GDF7_BMPR1A_ACVR2A,718
GDF7_BMPR1A_ACVR2B,719
GDF7_BMPR1A_BMPR2,720
GDF7_BMPR1B_ACVR2A,721
GDF7_BMPR1B_ACVR2B,722
GDF7_BMPR1B_BMPR2,723
GDF9_ACVR1B_BMPR2,724
GDNF_GFRA1_RET,725
GH1_GHR,726
GH1_PRLR,727
GHRH_GHRHR,728
GHRH_GHSR,729
GHRH_VIPR1,730
GHRH_VIPR2,731
GHRL_GHSR,732
GIP_GIPR,733
GNRH1_GNRHR,734
GP1BA_ITGAM_ITGB2,735
GRN_SORT1,736
GRP_GRPR,737
GUCA2A_GUCY2C,738
GUCA2B_GUCY2C,739
GZMA_F2R,740
GZMA_F2RL1,741
GZMA_F2RL2,742
GZMA_F2RL3,743
GZMA_PARD3,744
HBEGF_EGFR,745
HBEGF_EGFR_ERBB2,746
HBEGF_ERBB2_ERBB4,747
HBEGF_ERBB4,748
HCRT_HCRTR1,749
HCRT_HCRTR2,750
HGF_MET,751
HLA-A_CD8A,752
HLA-A_CD8B,753
HLA-A_CD8B2,754
HLA-A_KIR3DL1,755
HLA-B_CD8A,756
HLA-B_CD8B,757
HLA-B_CD8B2,758
HLA-B_KIR3DL2,759
HLA-C_CD8A,760
HLA-C_CD8B,761
HLA-C_CD8B2,762
HLA-C_KIR2DL1,763
HLA-C_KIR2DL2,764
HLA-C_KIR2DL3,765
HLA-C_KIR2DS1,766
HLA-C_KIR2DS4,767
HLA-C_KIR3DL3,768
HLA-DMA_CD4,769
HLA-DMB_CD4,770
HLA-DOA_CD4,771
HLA-DOB_CD4,772
HLA-DPA1_CD4,773
HLA-DPB1_CD4,774
HLA-DQA1_CD4,775
HLA-DQA2_CD4,776
HLA-DQB1_CD4,777
HLA-DRA_CD4,778
HLA-DRB1_CD4,779
HLA-DRB3_CD4,780
HLA-DRB4_CD4,781
HLA-DRB5_CD4,782
HLA-E_CD8A,783
HLA-E_CD8B,784
HLA-E_CD8B2,785
HLA-E_CD94:NKG2A,786
HLA-E_CD94:NKG2C,787
HLA-E_CD94:NKG2E,788
HLA-E_KLRC1,789
HLA-E_KLRC2,790
HLA-E_KLRK1,791
HLA-F_CD8A,792
HLA-F_CD8B,793
HLA-F_CD8B2,794
HLA-F_KIR3DL1,795
HLA-F_KIR3DL2,796
HLA-F_KIR3DS1,797
HLA-F_LILRB1,798
HLA-G_CD8A,799
HLA-G_CD8B,800
HLA-G_CD8B2,801
HLA-G_LILRB1,802
HLA-G_LILRB2,803
HSPG2_DAG1,804
IAPP_CALCR,805
IAPP_CALCRL,806
IBSP_ITGAV_ITGB3,807
IBSP_ITGAV_ITGB5,808
ICAM1_ITGAL,809
