ligand_receptor,lr_id
WNT10A_FZD1_LRP5,1587
WNT10A_FZD10_LRP5,1585
WNT10A_FZD2_LRP5,1589
WNT10A_FZD3_LRP5,1591
WNT10A_FZD4_LRP5,1593
WNT10A_FZD5_LRP5,1595
WNT10A_FZD6_LRP5,1597
WNT10A_FZD7_LRP5,1599
WNT10A_FZD8_LRP5,1601
WNT10A_FZD9_LRP5,1603
WNT10B_FZD1_LRP5,1607
WNT10B_FZD10_LRP5,1605
WNT10B_FZD2_LRP5,1609
WNT10B_FZD3_LRP5,1611
WNT10B_FZD4_LRP5,1613
WNT10B_FZD5_LRP5,1615
WNT10B_FZD6_LRP5,1617
WNT10B_FZD7_LRP5,1619
WNT10B_FZD8_LRP5,1621
WNT10B_FZD9_LRP5,1623
WNT16_FZD1_LRP5,1637
WNT16_FZD10_LRP5,1635
WNT16_FZD2_LRP5,1639
WNT16_FZD3_LRP5,1641
WNT16_FZD4_LRP5,1643
WNT16_FZD5_LRP5,1645
WNT16_FZD6_LRP5,1647
WNT16_FZD7_LRP5,1649
WNT16_FZD8_LRP5,1651
WNT16_FZD9_LRP5,1653
WNT2_FZD1_LRP5,1697
WNT2_FZD10_LRP5,1695
WNT2_FZD2_LRP5,1699
WNT2_FZD3_LRP5,1701
WNT2_FZD4_LRP5,1703
WNT2_FZD5_LRP5,1705
WNT2_FZD6_LRP5,1707
WNT2_FZD7_LRP5,1709
WNT2_FZD8_LRP5,1711
WNT2_FZD9_LRP5,1713
WNT2B_FZD1_LRP5,1677
WNT2B_FZD10_LRP5,1675
WNT2B_FZD2_LRP5,1679
WNT2B_FZD3_LRP5,1681
WNT2B_FZD4_LRP5,1683
WNT2B_FZD5_LRP5,1685
WNT2B_FZD6_LRP5,1687
WNT2B_FZD7_LRP5,1689
WNT2B_FZD8_LRP5,1691
WNT2B_FZD9_LRP5,1693
WNT3_FZD1_LRP5,1737
WNT3_FZD10_LRP5,1735
WNT3_FZD2_LRP5,1739
WNT3_FZD3_LRP5,1741
WNT3_FZD4_LRP5,1743
WNT3_FZD5_LRP5,1745
WNT3_FZD6_LRP5,1747
WNT3_FZD7_LRP5,1749
WNT3_FZD8_LRP5,1751
WNT3_FZD9_LRP5,1753
WNT3A_FZD1_LRP5,1717
WNT3A_FZD10_LRP5,1715
WNT3A_FZD2_LRP5,1719
WNT3A_FZD3_LRP5,1721
WNT3A_FZD4_LRP5,1723
WNT3A_FZD5_LRP5,1725
WNT3A_FZD6_LRP5,1727
WNT3A_FZD7_LRP5,1729
WNT3A_FZD8_LRP5,1731
WNT3A_FZD9_LRP5,1733
WNT4_FZD1_LRP5,1757
WNT4_FZD10_LRP5,1755
WNT4_FZD2_LRP5,1759
WNT4_FZD3_LRP5,1761
WNT4_FZD4_LRP5,1763
WNT4_FZD5_LRP5,1765
WNT4_FZD6_LRP5,1767
WNT4_FZD7_LRP5,1769
WNT4_FZD8_LRP5,1771
WNT4_FZD9_LRP5,1773
WNT6_FZD1_LRP5,1798
WNT6_FZD10_LRP5,1796
WNT6_FZD2_LRP5,1800
WNT6_FZD3_LRP5,1802
WNT6_FZD4_LRP5,1804
WNT6_FZD5_LRP5,1806
WNT6_FZD6_LRP5,1808
WNT6_FZD7_LRP5,1810
WNT6_FZD8_LRP5,1812
WNT6_FZD9_LRP5,1814
WNT7A_FZD1_LRP5,1818
WNT7A_FZD10_LRP5,1816
WNT7A_FZD2_LRP5,1820
WNT7A_FZD3_LRP5,1822
WNT7A_FZD4_LRP5,1824
WNT7A_FZD5_LRP5,1826
WNT7A_FZD6_LRP5,1828
WNT7A_FZD7_LRP5,1830
WNT7A_FZD8_LRP5,1832
WNT7A_FZD9_LRP5,1834
WNT7B_FZD1_LRP5,1838
WNT7B_FZD10_LRP5,1836
WNT7B_FZD2_LRP5,1840
WNT7B_FZD3_LRP5,1842
WNT7B_FZD4_LRP5,1844
WNT7B_FZD5_LRP5,1846
WNT7B_FZD6_LRP5,1848
WNT7B_FZD7_LRP5,1850
WNT7B_FZD8_LRP5,1852
WNT7B_FZD9_LRP5,1854
WNT8A_FZD1_LRP5,1858
WNT8A_FZD10_LRP5,1856
WNT8A_FZD2_LRP5,1860
WNT8A_FZD3_LRP5,1862
WNT8A_FZD4_LRP5,1864
WNT8A_FZD5_LRP5,1866
WNT8A_FZD6_LRP5,1868
WNT8A_FZD7_LRP5,1870
WNT8A_FZD8_LRP5,1872
WNT8A_FZD9_LRP5,1874
WNT8B_FZD1_LRP5,1878
WNT8B_FZD10_LRP5,1876
WNT8B_FZD2_LRP5,1880
WNT8B_FZD3_LRP5,1882
WNT8B_FZD4_LRP5,1884
WNT8B_FZD5_LRP5,1886
WNT8B_FZD6_LRP5,1888
WNT8B_FZD7_LRP5,1890
WNT8B_FZD8_LRP5,1892
WNT8B_FZD9_LRP5,1894
WNT9A_FZD1_LRP5,1898
WNT9A_FZD10_LRP5,1896
WNT9A_FZD2_LRP5,1900
WNT9A_FZD3_LRP5,1902
WNT9A_FZD4_LRP5,1904
WNT9A_FZD5_LRP5,1906
WNT9A_FZD6_LRP5,1908
WNT9A_FZD7_LRP5,1910
WNT9A_FZD8_LRP5,1912
WNT9A_FZD9_LRP5,1914
WNT9B_FZD1_LRP5,1918
WNT9B_FZD10_LRP5,1916
WNT9B_FZD2_LRP5,1920
WNT9B_FZD3_LRP5,1922
WNT9B_FZD4_LRP5,1924
WNT9B_FZD5_LRP5,1926
WNT9B_FZD6_LRP5,1928
WNT9B_FZD7_LRP5,1930
WNT9B_FZD8_LRP5,1932
WNT9B_FZD9_LRP5,1934
WNT1_FZD1_LRP6,1658
WNT1_FZD10_LRP6,1656
WNT1_FZD2_LRP6,1660
WNT1_FZD3_LRP6,1662
WNT1_FZD4_LRP6,1664
WNT1_FZD5_LRP6,1666
WNT1_FZD6_LRP6,1668
WNT1_FZD7_LRP6,1670
WNT1_FZD8_LRP6,1672
WNT1_FZD9_LRP6,1674
WNT10A_FZD1_LRP6,1588
WNT10A_FZD10_LRP6,1586
WNT10A_FZD2_LRP6,1590
WNT10A_FZD3_LRP6,1592
WNT10A_FZD4_LRP6,1594
WNT10A_FZD5_LRP6,1596
WNT10A_FZD6_LRP6,1598
WNT10A_FZD7_LRP6,1600
WNT10A_FZD8_LRP6,1602
WNT10A_FZD9_LRP6,1604
WNT10B_FZD1_LRP6,1608
WNT10B_FZD10_LRP6,1606
WNT10B_FZD2_LRP6,1610
WNT10B_FZD3_LRP6,1612
WNT10B_FZD4_LRP6,1614
WNT10B_FZD5_LRP6,1616
WNT10B_FZD6_LRP6,1618
WNT10B_FZD7_LRP6,1620
WNT10B_FZD8_LRP6,1622
WNT10B_FZD9_LRP6,1624
WNT16_FZD1_LRP6,1638
WNT16_FZD10_LRP6,1636
WNT16_FZD2_LRP6,1640
WNT16_FZD3_LRP6,1642
WNT16_FZD4_LRP6,1644
WNT16_FZD5_LRP6,1646
WNT16_FZD6_LRP6,1648
WNT16_FZD7_LRP6,1650
WNT16_FZD8_LRP6,1652
WNT16_FZD9_LRP6,1654
WNT2_FZD1_LRP6,1698
WNT2_FZD10_LRP6,1696
WNT2_FZD2_LRP6,1700
WNT2_FZD3_LRP6,1702
WNT2_FZD4_LRP6,1704
WNT2_FZD5_LRP6,1706
WNT2_FZD6_LRP6,1708
WNT2_FZD7_LRP6,1710
WNT2_FZD8_LRP6,1712
WNT2_FZD9_LRP6,1714
WNT2B_FZD1_LRP6,1678
WNT2B_FZD10_LRP6,1676
WNT2B_FZD2_LRP6,1680
WNT2B_FZD3_LRP6,1682
WNT2B_FZD4_LRP6,1684
WNT2B_FZD5_LRP6,1686
WNT2B_FZD6_LRP6,1688
WNT2B_FZD7_LRP6,1690
WNT2B_FZD8_LRP6,1692
WNT2B_FZD9_LRP6,1694
WNT3_FZD1_LRP6,1738
WNT3_FZD10_LRP6,1736
WNT3_FZD2_LRP6,1740
WNT3_FZD3_LRP6,1742
WNT3_FZD4_LRP6,1744
WNT3_FZD5_LRP6,1746
WNT3_FZD6_LRP6,1748
WNT3_FZD7_LRP6,1750
WNT3_FZD8_LRP6,1752
WNT3_FZD9_LRP6,1754
WNT3A_FZD1_LRP6,1718
WNT3A_FZD10_LRP6,1716
WNT3A_FZD2_LRP6,1720
WNT3A_FZD3_LRP6,1722
WNT3A_FZD4_LRP6,1724
WNT3A_FZD5_LRP6,1726
WNT3A_FZD6_LRP6,1728
WNT3A_FZD7_LRP6,1730
WNT3A_FZD8_LRP6,1732
WNT3A_FZD9_LRP6,1734
WNT4_FZD1_LRP6,1758
WNT4_FZD10_LRP6,1756
WNT4_FZD2_LRP6,1760
WNT4_FZD3_LRP6,1762
WNT4_FZD4_LRP6,1764
WNT4_FZD5_LRP6,1766
WNT4_FZD6_LRP6,1768
WNT4_FZD7_LRP6,1770
WNT4_FZD8_LRP6,1772
WNT4_FZD9_LRP6,1774
WNT6_FZD1_LRP6,1799
WNT6_FZD10_LRP6,1797
WNT6_FZD2_LRP6,1801
WNT6_FZD3_LRP6,1803
WNT6_FZD4_LRP6,1805
WNT6_FZD5_LRP6,1807
WNT6_FZD6_LRP6,1809
WNT6_FZD7_LRP6,1811
WNT6_FZD8_LRP6,1813
WNT6_FZD9_LRP6,1815
WNT7A_FZD1_LRP6,1819
WNT7A_FZD10_LRP6,1817
WNT7A_FZD2_LRP6,1821
WNT7A_FZD3_LRP6,1823
WNT7A_FZD4_LRP6,1825
WNT7A_FZD5_LRP6,1827
WNT7A_FZD6_LRP6,1829
WNT7A_FZD7_LRP6,1831
WNT7A_FZD8_LRP6,1833
WNT7A_FZD9_LRP6,1835
WNT7B_FZD1_LRP6,1839
WNT7B_FZD10_LRP6,1837
WNT7B_FZD2_LRP6,1841
WNT7B_FZD3_LRP6,1843
WNT7B_FZD4_LRP6,1845
WNT7B_FZD5_LRP6,1847
WNT7B_FZD6_LRP6,1849
WNT7B_FZD7_LRP6,1851
WNT7B_FZD8_LRP6,1853
WNT7B_FZD9_LRP6,1855
WNT8A_FZD1_LRP6,1859
WNT8A_FZD10_LRP6,1857
WNT8A_FZD2_LRP6,1861
WNT8A_FZD3_LRP6,1863
WNT8A_FZD4_LRP6,1865
WNT8A_FZD5_LRP6,1867
WNT8A_FZD6_LRP6,1869
WNT8A_FZD7_LRP6,1871
WNT8A_FZD8_LRP6,1873
WNT8A_FZD9_LRP6,1875
WNT8B_FZD1_LRP6,1879
WNT8B_FZD10_LRP6,1877
WNT8B_FZD2_LRP6,1881
WNT8B_FZD3_LRP6,1883
WNT8B_FZD4_LRP6,1885
WNT8B_FZD5_LRP6,1887
WNT8B_FZD6_LRP6,1889
WNT8B_FZD7_LRP6,1891
WNT8B_FZD8_LRP6,1893
WNT8B_FZD9_LRP6,1895
WNT9A_FZD1_LRP6,1899
WNT9A_FZD10_LRP6,1897
WNT9A_FZD2_LRP6,1901
WNT9A_FZD3_LRP6,1903
