gene,pcc,ssim,rmse,js
Principal Cells,0.7445129987576794,0.5953399885244952,0.7148244557124788,0.16745439720500985
Proximal Tubule,0.8163439922566446,0.7830189437106757,0.6060627158031675,0.07426038563136893
Thick Ascending Limb,0.7441244332759284,0.4728263971058807,0.7153678308731409,0.11822444773049279
Distal Convoluted Tubule,0.7919681950894074,0.5083374501169864,0.6450299293995471,0.1076983262253403
Intercalated Cells Type A,0.876098883724809,0.824057652670664,0.4977973810200112,0.05827805306384498
Intercalated Cells Type B,0.7950736360283861,0.5640708898350963,0.6401974132587758,0.23098366317942332
Connecting Tubule,0.7591409409636155,0.7611379889599137,0.6940591603550589,0.11428829857691813
Endothelial Cell,0.8698375259328182,0.7819933198462398,0.5102204897241617,0.06902825723743704
Mesangial Cells,0.8697820928426337,0.730643829591607,0.510329123522,0.08452746808151715
Leukocyte,0.7969849858564599,0.7454771322794587,0.6372048558250952,0.19284911245294123
