,Pearson_Correlation
B-cells,
CAFs,0.356334741653061
Cancer Epithelial,0.9205801626495231
Endothelial,0.2285646314869255
Myeloid,0.8147854377296039
Normal Epithelial,0.877766469177701
PVL,
Plasmablasts,0.5609016261597133
T-cells,-0.2053033306755325
